131,3200800010009,CUAUHTêMOC,CUAUHTêMOC,LµZARO CµRDENAS PRIMERA SECCI‡N
132,3200800010010,CUAUHTêMOC,CUAUHTêMOC,POTRERILLOS PRIMERA SECCI‡N
133,3200800010011,CUAUHTêMOC,CUAUHTêMOC,POTRERILLOS SEGUNDA SECCI‡N
134,3200800010012,CUAUHTêMOC,CUAUHTêMOC,MORELOS
135,3200800010013,CUAUHTêMOC,CUAUHTêMOC,LµZARO CµRDENAS SEGUNDA SECCI‡N
136,3200800010014,CUAUHTêMOC,CUAUHTêMOC,NUEVO MILENIO
137,3200800010015,CUAUHTêMOC,CUAUHTêMOC,LAS TORRES
138,3200800010016,CUAUHTêMOC,CUAUHTêMOC,COPROVI LOS VENEROS
139,3200800010017,CUAUHTêMOC,CUAUHTêMOC,COPROVI SAN PEDRO
140,3200800010018,CUAUHTêMOC,CUAUHTêMOC,INDEPENDIENTE
141,3200800010019,CUAUHTêMOC,CUAUHTêMOC,EL LLANO
142,3200800010020,CUAUHTêMOC,CUAUHTêMOC,EL PASTIZAL
143,3200800010021,CUAUHTêMOC,CUAUHTêMOC,PIEDAD
144,3200800010022,CUAUHTêMOC,CUAUHTêMOC,NINGUNO
145,3200900010000,CHALCHIHUITES,CHALCHIHUITES,VARIAS
146,3200900010001,CHALCHIHUITES,CHALCHIHUITES,ALAMEDA
147,3200900010002,CHALCHIHUITES,CHALCHIHUITES,ALAMEDA
148,3200900010003,CHALCHIHUITES,CHALCHIHUITES,DEL CARDENALILLO
149,3200900010004,CHALCHIHUITES,CHALCHIHUITES,CENTRO
150,3200900010005,CHALCHIHUITES,CHALCHIHUITES,COLORADO
151,3200900010006,CHALCHIHUITES,CHALCHIHUITES,CONCORDIA
152,3200900010007,CHALCHIHUITES,CHALCHIHUITES,CONCORDIA 2000
153,3200900010008,CHALCHIHUITES,CHALCHIHUITES,DE FµTIMA
154,3200900010009,CHALCHIHUITES,CHALCHIHUITES,EL HUNDIDO
155,3200900010010,CHALCHIHUITES,CHALCHIHUITES,DE JALISCO
156,3200900010011,CHALCHIHUITES,CHALCHIHUITES,MAGISTERIAL
157,3200900010012,CHALCHIHUITES,CHALCHIHUITES,OJO DE AGUA
158,3200900010013,CHALCHIHUITES,CHALCHIHUITES,LA PE•ITA
159,3200900010014,CHALCHIHUITES,CHALCHIHUITES,SOLIDARIDAD
160,3201000010000,FRESNILLO,FRESNILLO,VARIAS
161,3201000010702,FRESNILLO,FRESNILLO,NUEVA ALIANZA
162,3201000010703,FRESNILLO,FRESNILLO,ALTO
163,3201000010704,FRESNILLO,FRESNILLO,LAS AMêRICAS
164,3201000010705,FRESNILLO,FRESNILLO,AMPLIACI‡N AZTECA
165,3201000010706,FRESNILLO,FRESNILLO,ARBOLEDAS
166,3201000010707,FRESNILLO,FRESNILLO,LAS AVES
167,3201000010708,FRESNILLO,FRESNILLO,AZTECA
168,3201000010709,FRESNILLO,FRESNILLO,LOS BALCONES
169,3201000010710,FRESNILLO,FRESNILLO,BELE•A
170,3201000010711,FRESNILLO,FRESNILLO,BENITO JUµREZ
171,3201000010712,FRESNILLO,FRESNILLO,BUENOS AIRES
172,3201000010713,FRESNILLO,FRESNILLO,CENTRO
173,3201000010714,FRESNILLO,FRESNILLO,DEL BOSQUE
174,3201000010715,FRESNILLO,FRESNILLO,DEL FRESNO
175,3201000010716,FRESNILLO,FRESNILLO,DEL SOL
176,3201000010717,FRESNILLO,FRESNILLO,DEL VALLE
177,3201000010719,FRESNILLO,FRESNILLO,ECOL‡GICA
178,3201000010722,FRESNILLO,FRESNILLO,ELECTRICISTAS
179,3201000010723,FRESNILLO,FRESNILLO,EMILIANO ZAPATA
180,3201000010724,FRESNILLO,FRESNILLO,ESPARZA
181,3201000010726,FRESNILLO,FRESNILLO,LAS FLORES
182,3201000010727,FRESNILLO,FRESNILLO,LA FORTUNA
183,3201000010728,FRESNILLO,FRESNILLO,ROQUE ESTRADA FOVISSSTE
184,3201000010729,FRESNILLO,FRESNILLO,FRANCISCO GOYTIA
185,3201000010730,FRESNILLO,FRESNILLO,FRANCISCO I. MADERO
186,3201000010731,FRESNILLO,FRESNILLO,FRANCISCO VILLA
187,3201000010733,FRESNILLO,FRESNILLO,FELIPE MONREAL
188,3201000010734,FRESNILLO,FRESNILLO,GONZµLEZ ORTEGA
189,3201000010735,FRESNILLO,FRESNILLO,LAS HACIENDAS
190,3201000010736,FRESNILLO,FRESNILLO,IMPRESIONISTAS
191,3201000010737,FRESNILLO,FRESNILLO,INDUSTRIAL
192,3201000010740,FRESNILLO,FRESNILLO,GONZµLEZ ORTEGA
193,3201000010741,FRESNILLO,FRESNILLO,JOSê MA. VAZQUEZ
194,3201000010742,FRESNILLO,FRESNILLO,LA JOYA
195,3201000010743,FRESNILLO,FRESNILLO,LASALLE
196,3201000010744,FRESNILLO,FRESNILLO,LµZARO CARDENAS
197,3201000010746,FRESNILLO,FRESNILLO,LIENZO CHARRO
198,3201000010747,FRESNILLO,FRESNILLO,LINDAVISTA
199,3201000010748,FRESNILLO,FRESNILLO,FORTUNA
200,3201000010749,FRESNILLO,FRESNILLO,LOMAS DE PLATEROS
201,3201000010750,FRESNILLO,FRESNILLO,LUIS DONALDO COLOSIO
202,3201000010751,FRESNILLO,FRESNILLO,UNIDAD Y ESFUERZO MAGISTERIAL
203,3201000010752,FRESNILLO,FRESNILLO,MAGISTERIAL
204,3201000010754,FRESNILLO,FRESNILLO,EL OLIVAR
205,3201000010755,FRESNILLO,FRESNILLO,MARAVILLAS
206,3201000010756,FRESNILLO,FRESNILLO,MESOAMêRICA
207,3201000010757,FRESNILLO,FRESNILLO,MêXICO
208,3201000010758,FRESNILLO,FRESNILLO,MIGUEL HIDALGO
209,3201000010759,FRESNILLO,FRESNILLO,MINERA
210,3201000010761,FRESNILLO,FRESNILLO,MURALISTAS
211,3201000010762,FRESNILLO,FRESNILLO,GOMEZ SADA
212,3201000010764,FRESNILLO,FRESNILLO,OBRERA
213,3201000010765,FRESNILLO,FRESNILLO,LOS OLIVOS
214,3201000010767,FRESNILLO,FRESNILLO,NINGUNO
215,3201000010768,FRESNILLO,FRESNILLO,PATRIA Y LIBERTAD
216,3201000010769,FRESNILLO,FRESNILLO,LA PAZ
217,3201000010770,FRESNILLO,FRESNILLO,PERIODISTAS
218,3201000010771,FRESNILLO,FRESNILLO,PETROLEOS
219,3201000010772,FRESNILLO,FRESNILLO,PLAN DE AYALA
220,3201000010774,FRESNILLO,FRESNILLO,POLVAREDAS
221,3201000010776,FRESNILLO,FRESNILLO,PROGRESO
222,3201000010777,FRESNILLO,FRESNILLO,PROVIDENCIA
223,3201000010778,FRESNILLO,FRESNILLO,QUINTA DEL COBRE
224,3201000010779,FRESNILLO,FRESNILLO,REAL DEL FRESNO
