3200900010002,CHALCHIHUITES,CHALCHIHUITES,ALAMEDA
3200900010003,CHALCHIHUITES,CHALCHIHUITES,DEL CARDENALILLO
3200900010004,CHALCHIHUITES,CHALCHIHUITES,CENTRO
3200900010005,CHALCHIHUITES,CHALCHIHUITES,COLORADO
3200900010006,CHALCHIHUITES,CHALCHIHUITES,CONCORDIA
3200900010007,CHALCHIHUITES,CHALCHIHUITES,CONCORDIA 2000
3200900010008,CHALCHIHUITES,CHALCHIHUITES,DE FÁTIMA
3200900010009,CHALCHIHUITES,CHALCHIHUITES,EL HUNDIDO
3200900010010,CHALCHIHUITES,CHALCHIHUITES,DE JALISCO
3200900010011,CHALCHIHUITES,CHALCHIHUITES,MAGISTERIAL
3200900010012,CHALCHIHUITES,CHALCHIHUITES,OJO DE AGUA
3200900010013,CHALCHIHUITES,CHALCHIHUITES,LA PEÑITA
3200900010014,CHALCHIHUITES,CHALCHIHUITES,SOLIDARIDAD
3201000010000,FRESNILLO,FRESNILLO,VARIAS
3201000010702,FRESNILLO,FRESNILLO,NUEVA ALIANZA
3201000010703,FRESNILLO,FRESNILLO,ALTO
3201000010704,FRESNILLO,FRESNILLO,LAS AMÉRICAS
3201000010705,FRESNILLO,FRESNILLO,AMPLIACIÓN AZTECA
3201000010706,FRESNILLO,FRESNILLO,ARBOLEDAS
3201000010707,FRESNILLO,FRESNILLO,LAS AVES
3201000010708,FRESNILLO,FRESNILLO,AZTECA
3201000010709,FRESNILLO,FRESNILLO,LOS BALCONES
3201000010710,FRESNILLO,FRESNILLO,BELEÑA
3201000010711,FRESNILLO,FRESNILLO,BENITO JUÁREZ
3201000010712,FRESNILLO,FRESNILLO,BUENOS AIRES
3201000010713,FRESNILLO,FRESNILLO,CENTRO
3201000010714,FRESNILLO,FRESNILLO,DEL BOSQUE
3201000010715,FRESNILLO,FRESNILLO,DEL FRESNO
3201000010716,FRESNILLO,FRESNILLO,DEL SOL
3201000010717,FRESNILLO,FRESNILLO,DEL VALLE
3201000010719,FRESNILLO,FRESNILLO,ECOLÓGICA
3201000010722,FRESNILLO,FRESNILLO,ELECTRICISTAS
3201000010723,FRESNILLO,FRESNILLO,EMILIANO ZAPATA
3201000010724,FRESNILLO,FRESNILLO,ESPARZA
3201000010726,FRESNILLO,FRESNILLO,LAS FLORES
3201000010727,FRESNILLO,FRESNILLO,LA FORTUNA
3201000010728,FRESNILLO,FRESNILLO,ROQUE ESTRADA FOVISSSTE
3201000010729,FRESNILLO,FRESNILLO,FRANCISCO GOYTIA
3201000010730,FRESNILLO,FRESNILLO,FRANCISCO I. MADERO
3201000010731,FRESNILLO,FRESNILLO,FRANCISCO VILLA
3201000010733,FRESNILLO,FRESNILLO,FELIPE MONREAL
3201000010734,FRESNILLO,FRESNILLO,GONZÁLEZ ORTEGA
3201000010735,FRESNILLO,FRESNILLO,LAS HACIENDAS
